Determinant	268281	16494	485659	1326	145	231	141295	45550	171228	6197660	19	8647871	11943104	11293887	1202	71	707368	137	92	5605161	2562	5413	71	5383633	35	2046880	1968964	1332549	90066	358747	35	12492	89	59420	321	791769	1485528	3839587	587055	2942
sadkangaroo	470199	12649	898668	12350	129	219	147434	48101	144124	9388990	17	5877835	8009492	9766599	1484	53	780277	131	76	6519697	2298	6224	77	9056881	47	2791288	2714008	1814324	81927	463938	26	6664	87	54927	128	744401	1364259	2691339	756016	2047
jiziwei	284216	10980	481228	1297	124	208	174060	67544	142831	4988517	24	4796844	6558290	5984933	1179	75	665791	140	94	5190729	2283	5241	80	5394620	42	1863026	1787792	1373720	71398	352601	31	4899	106	62210	332	631716	1212686	2756245	480511	1797
cycycy	331217	11680	564306	1340	146	230	155629	59368	172926	4630634	19	5051047	6255575	5504193	1605	75	917197	144	89	7307155	2498	5843	86	5949300	45	2062617	2021613	1439816	77747	459854	32	7450	84	36443	135	446812	1258157	3052422	649203	2303
ascii991218	288191	12786	705286	1623	201	338	479133	168852	241329	5585522	28	3126726	6162973	4633633	2557	231	620133	525	86	6851891	4486	8533	260	4825010	133	1965883	2088031	1751200	90284	416151	57	21271	337	37794	225	831578	1728096	4864778	729995	3974
zzy7896321	383297	15655	785716	24611	176	342	464800	168334	220835	8855289	124	6569724	6559649	5471018	2704	200	738033	447	114	9233836	4737	13923	247	6795825	139	2530006	2669110	2090170	94209	564013	57	19258	300	74171	381	1678583	1849356	4074810	871775	2633
daerduomkch	360851	11074	679049	24554	146	243	186332	55772	162732	10723526	17	5117455	6144778	4528962	1690	41	969307	99	51	9599628	2985	5667	90	6523359	38	2793026	2820074	1708889	98393	589751	22	5629	127	42972	154	1794890	1682582	3310164	791286	2163
memed4	1122293	25427	1756161	61182	251	403	468901	179596	509043	26459267	142	15400559	17510980	14272589	5527	219	2437917	490	152	23633204	8904	24545	255	17828124	174	6257039	6318863	5413898	165645	1656189	70	23372	431	109590	467	12040545	1697774	8591008	2541068	5956
zhenni	4001975	30616	2395281	73507	255	395	208876	70112	722757	39849797	21	19568821	20518715	16281392	5906	98	4018808	210	178	27947957	8072	15797	125	29122931	74	8578522	8435554	7053654	238462	2248071	38	11831	246	130253	251	13480362	1909962	12103870	3024798	7347
ihsgnef	521372	18136	1041606	24718	226	539	835416	288025	453059	13256699	28	8878523	10600276	9508158	2395	129	1252129	229	165	9612781	4016	9173	445	12457069	66	3580272	3764562	2775072	143282	747744	52	11058	430	54566	484	1811855	2319252	6520725	1260326	5307
CosineUFO	844811	23186	1483171	22246	291	512	776032	272731	531049	17051343	28	11029509	16579517	12317195	5414	403	1784145	984	210	20463491	7645	10570	401	11906509	237	4151519	4488323	4030907	131818	1009844	113	44846	567	183731	1310	2777697	2364784	8832396	1356606	5514
anshantby	583673	20654	1024584	36957	205	362	481182	178572	373231	14437588	23	9695213	11460532	9509303	3903	220	1730954	524	140	14176243	6448	7442	254	7653301	133	4001613	4094031	2861491	107023	953347	67	25091	357	70935	256	1960305	1788724	6340878	1297663	4834
